 INFO 2014-07-16 15:57:14,957 [main] (ContentManagement.java:5186) - New Container Success message displayed successfully
 INFO 2014-07-16 15:57:14,957 [main] (ContentManagement.java:5187) - Verify if the container [Companies List] displayed in Containers list
 INFO 2014-07-16 15:57:15,118 [main] (ContentManagement.java:5223) - [Companies List] displyaed in Containers list
 INFO 2014-07-16 15:57:15,118 [main] (ContentManagement.java:5225) - Click on [Companies List] container
 INFO 2014-07-16 15:57:21,512 [main] (ContentManagement.java:5273) - Click operation successful on container [Companies List]
 INFO 2014-07-16 15:57:21,520 [main] (ContentManagement.java:5292) - Click on 'NEW ITEM' button for container
 INFO 2014-07-16 15:57:25,687 [main] (ContentManagement.java:5296) - Click operation is successful on 'NEW ITEM'. Verify 'Name', 'Field', 'Type' & 'Schema' fields
 INFO 2014-07-16 15:57:25,830 [main] (ContentManagement.java:5510) - Verification of 'Name', 'Type', 'Field' & 'Schema' fields are successful
 INFO 2014-07-16 15:57:25,830 [main] (ContentManagement.java:5511) - Verify 'CANCEL' & 'SAVE' buttons
 INFO 2014-07-16 15:57:25,839 [main] (ContentManagement.java:5529) - Verification of 'CANCEL' & 'SAVE' buttons successful
 INFO 2014-07-16 15:57:25,840 [main] (ContentManagement.java:5530) - Validate the 'NEW ITEM' form
 INFO 2014-07-16 15:57:39,318 [main] (ContentManagement.java:5703) - Verify if the container [Companies] displayed in Containers list
 INFO 2014-07-16 15:57:42,446 [main] (ContentManagement.java:5726) - container [Companies] is present in containers list
 INFO 2014-07-16 15:57:49,485 [main] (ContentManagement.java:5792) - Starting [putContentInContainer] execution
 INFO 2014-07-16 15:57:49,485 [main] (ContentManagement.java:5793) - Verify if user is on [Content] sub tab in [Content Management] tab
ERROR 2014-07-16 15:57:51,522 [main] (SeleniumUtils.java:163) - Assertion error
 INFO 2014-07-16 15:57:59,667 [main] (ContentManagement.java:5880) - User is on [Content] sub tab in [Content Management] tab
 INFO 2014-07-16 15:57:59,668 [main] (ContentManagement.java:5881) - Click on container [Companies List] in container list
